Tem;Mr;Sd;Cp;n;IP;LOI;MBI;C_Mpa;T_Mpa;Duw;C_S
10;146.6090072;12.48252132;40.77352941;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;187.1746831;12.87166467;40.76764706;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;158.953384;12.49249935;40.77745098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;156.5572456;12.1332901;40.77843137;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;182.2504654;12.73197218;40.76862745;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;194.2194596;25.33422991;40.75931373;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;187.7410845;25.51383454;40.75245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;189.9691372;25.19453743;40.75735294;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;202.6142288;25.43401026;40.76519608;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;179.6241402;25.78324147;40.75980392;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;205.6966475;36.86883794;40.75441176;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;216.2050146;36.92870615;40.75980392;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;217.7120839;37.27793736;40.75784314;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;194.2237317;35.63156165;40.77009804;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;199.5679943;36.94866222;40.75245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;213.7725886;50.84806445;40.73970588;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;219.3395515;51.24718584;40.74264706;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;222.6468367;49.86023902;40.74901961;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;215.2953183;50.93786676;40.7495098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;212.1421868;50.81813035;40.73970588;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;221.2922779;62.34276034;40.73627451;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;213.6095864;59.90811989;40.72990196;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;232.0210529;60.76623087;40.71323529;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;217.3386396;61.04561584;40.72352941;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;222.9030173;61.57445167;40.72892157;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;112.35008;12.54238952;27.68039216;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;109.3927831;11.23526699;27.66421569;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;131.9991201;13.36058836;27.63333333;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;108.6131102;12.77188432;27.63039216;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;131.6573134;13.97922651;27.61127451;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
